Premise	Hypothesis	Label
The lines take a dramatic route through ditches cut through Princes Street Gardens and under the Mound (in the National Gallery you can feel a faint movement as the trains travel underneath).	The subway trains cut through prominent places within the cities.	entailment
In 1982, Ronald Reagan invoked this right to keep EPA documents about toxic-waste disposal from Congress.	Ronald reagan proudly showed the EPA papers	contradictory
It shouldn't be any longer than four feet or it will be too heavy.	The large dog was the size of a dinosaur. 	contradictory
Interconnected business services.	The services are interconnected.	entailment
The third field work standard for performance audits 	The field work standard is for performance audits.	entailment
Somebody MUST have seen her." Forthwith the campaign began.	It was probably that someone saw her.  	entailment
Deep scars ran across the boiled brown leather of the bandit chest guard Adrin had taken from the site of the slave lord.	Ardin's armor was new and beautiful.	contradictory
MIT's Steven Pinker argues that the Rochester researchers fail to comprehend that learning words and learning grammar are ...	MIT's Steven Pinker has no objections to the Rochester researcher's conclusions.	contradictory
Barry agreed that we have not monitored closely enough what intervention is being delivered by the interventionists we train.	Barry agreed that we didn't monitor that like we should have.	entailment
Old (bar) president should fade away.	Old president should stay relevant.	contradictory
Nehru got his Independence and Jinnah his Partition a Pakistan whose eastern Bengali portion was to break away 24 years later to become Bangladesh.	Part of Bengal became Bangladesh.	entailment
'Listen,' she hissed, 'Franklin, I said like you- but that's not enough to endanger myself, do you understand?'	She said she didn't like Franklin.	contradictory
The other men turned and stared at the salt miner.	The man ignored the miner.	contradictory
They did not, but Sir James referred him to Mrs. Vandemeyer's solicitor.	Mrs. Vandemeyer does not have a solicitor. 	contradictory
Newsweek 's cover package compares Watergate and Flytrap.	There is a comparison between Watergate and Flytrap on Newsweek's cover package.	entailment
What type of acquisition is it?	There will be no acquisition.	contradictory
But since--according to Krugman--the Federal Reserve can control output and unemployment, he believes that this tendency is easily offset by cuts in interest rates to hold employment steady.	Krugman does not believe the Federal Reserve has a lot of power.	contradictory
Some drank and when they did they went crazy, mad with blood lust.	They seemed to remain calm after drinking.	contradictory
It carried passengers between Yokohama and Seattle for some thirty years; in summer, it has a pleasant beer garden on the upper deck.	On the upper deck there is a beer garden.	entailment
Future generations will have to deal with that.	That is a problem our children will handle.	entailment
it's gotten so though that there are so many you know there are so many uh	There just aren't enough at the moment.	contradictory
You'll see dozens of iron-grilled buildings reminiscent of that other former French colonial port, New Orleans, Louisiana.	Nowhere in the world can you find buildings similar to the ones in Louisiana.	contradictory
Simmons said he fears a disaster because of bad wiring or other problems.	Someone fears a disaster.	entailment
He moved the capital back to Delhi again in 1648, leaving the city's treasure to vandals (including the British) after the 1857 Mutiny, until the viceroys organized its restoration.	The capital was moved back to Delhi in 1648 and the city was left to be vandalised.	entailment
The Times can't very well send reporters snooping around after colleagues in the same newsroom.	It is not feasible for The Times to send reporters to conduct snooping on colleagues in the same newsroom.	entailment
Certainly not.	Of course I will.	contradictory
i've never been to any  a game or anything like that	I've been to every game this season.	contradictory
i was going to say there's going to be no more Dallas reruns	You can watch Dallas reruns everyday on TBS	contradictory
Geraldine Ferraro's resignation as co-host of Crossfire , to run for the Senate from New York, has occasioned the usual pokes at CNN's nightly political interview-cum-debate program.	Geraldine Ferraro is resigning as co-host of Crossfire in order to run for Senate from New York.	entailment
The Justice Department said the firm was named as a party because its services may be required to implement a remedy.	The firm may be required for a remedy.	entailment
The states described here are by no means the only ones that have made progress.	Only one state made any progress.	contradictory
In that respect, it was noted that board members should possess an independent spirit to ask the tough and probing questions of management.	The board members should all be dependent in nature.	contradictory
These concerns are not really new to Las Vegas; they had simply been overshadowed by growth in recent years.	Las Vegas has never had concerns like this.	contradictory
You think black studies has achieved middlebrow status.	You believe black studies has accomplished middle level status.	entailment
Substance abuse and the emergency  programmatic implications.	Substance abuse is an issue that has serious complications for emergency programs.	entailment
that's what i need	I didn't need that.	contradictory
The Temple of Juno, with its sacrificial altar, stands in majestic isolation high on a ledge at the eastern end of the Via Sacra.	You can find the Temple of Juno on a ledge at the northern end of the Via Sacra.	contradictory
On the way to Cimiez don't miss the Mus??e Chagall (Ave.	Ignore Muse Chagall avenue.	contradictory
yeah i agree with you i if we were going to get anything now it would definitely be a cat	I think the same if we were going to get a pet, we'd chose a cat.	entailment
yeah you going oh yeah Yeah if if if you've ever seen the program paper chase it's very much like that except worse	Similar to the program paper chase but much worse.	entailment
If only one of the dealer's hands wins, the game is a push (tie), and no money changes hands (this happens more often than not).	A push tie is when the dealer loses and the winner is paid.	contradictory
a PC at the house would really take a lot of the load off	I have a PC at home, which makes things easier. 	contradictory
everything blooming and and the weather and uh think a lot of people have contracted uh spring fever too so had a lot of people out at work you know for fishing and and uh golf reasons and things like that	The weather has been so nice, people are getting spring fever and taking days off of work to spend them outside instead. 	entailment
Consistent attention to employee empowerment and involvement issues helps to ensure that changes are sustained.	It is impossible to make any changes.	contradictory
White frogmarched me forward, pistol jammed into my cheek.	I was holding a pistol, pressing it into White's cheek.	contradictory
um-hum couldn't	Um-hum, could.	contradictory
How satisfactory is the compromise?	a compromise holds a certain level of satisfaction.	entailment
Life changed  vast tracts of land were given to Norman lords and Roman Catholic religious orders.	The land was given back to the commoners.	contradictory
Jane Finn.	A man.	contradictory
Why no journalistic outrage about that ? Well, for starters, try looking at a grainy newsweekly-sized photo of Lou Gerstner and see if it makes you remember Pearl Harbor.	Lou Gerstner and Pearl Harbor are often linked.	entailment
VARIABLE VALUE SECURITIES - Securities that have unknown redemption or maturity values at the time of issue.	Variable value securities have known maturities values at time of issue.	contradictory
And a change does no harm sometimes."	It doesn't hurt to make a change sometimes.	entailment
This pattern of installations exhibits that the catalyst market demonstrated the ability to respond to the surge in demand resulting from a dramatic increase in SCR installations.	The catalyst market demonstrated the inability to respond to the surge in demand.	contradictory
110 Chapter 9 DR. 	1 chapter 10	contradictory
Roughly a third of the employers studied appeared to have discriminated against women or minorities in at least one job category, the authors said	The authors found small, negligible amounts of discrimination throughout the workforce.	contradictory
Two basic models of data analysis are pattern matching and explanation building.	There's only one basic model of data analysis.	contradictory
Much alleged psychotic illness is the result of rational, if wrong-headed, calculation.	Calculation can cause what is perceived as psychotic illness.	entailment
Ferdinand and Isabella, the Catholic monarchs that united all the provinces of Spain, first visited Madrid in 1477.	Ferdinand and Isabella, confined to their small province of Castile, never visited Madrid.	contradictory
and these fine Americans take care of them	these nice Americans look after them	entailment
It took him clear effort to crawl back.	He could walk back unscathed.	contradictory
For many, the image of Greek music and dance is inexorably linked to the film Zorba the Greek.	Greek music and dance were portrayed in the film Zorba the Greek.	entailment
Indeed, as recently as November, I refrained from this course only at the eleventh hour.	I refrained from this course at the last moment, just as recently as November. 	entailment
probably i think it's the carrier that scares them now on the other hand the Bombay hates the car she'll uh she	Bombay loves riding in the car.	contradictory
i suspect you i suspect you have	I do not have any thoughts about you.	contradictory
 Since Ibiza is an island in the Mediterranean, fish, usually grilled and served with a salad and fried potatoes, figures most importantly and delectably ' in the local diet.	Fish is unimportant to the diet in Ibiza because it is not located in the Mediterranean.	contradictory
He was freed by his father, then became wealthy enough to lend money to prominent whites.	Although he was born in a wealthy family, he lost his fortune and died young and penniless.	contradictory
Everything was confusion. 	There was no confusion in the matter.	contradictory
Moreover, Tribal Allocation Priority funds, as federal payments to tribal governments are known, are divvied up based on tribe size and population density rather than income, meaning that tribes with big gambling incomes often get federal subsidies as big as those with none.	Tribal Allocation Priority funds are split up by the size of the tribe.	entailment
Yet, as the LSC advised the Court, if, during litigation, a judge were to ask an LSC attorney whether there was a constitutional concern, the LSC attorney simply could not answer.	the LSC attorney could not answer whether there was a constitutional concern.	entailment
That was the night before.	That was two weeks ago. 	contradictory
she used yeah she was inaugurated in January so	She was inaugurated in the month of January.	entailment
but well i guess it's getting late	Plenty of time left.	contradictory
When I have a law clerk leave me to go into a big firm, that clerk starts off earning more money than I do, he said. 	He said they lose money by going to a big firm.	contradictory
The editorial goes on to note that between one-third and one-half of all divorced women spend some time on  As for the famous gender gap, it appears to be merely part of the basic political tensions that now exist between defenders of the country's post-War system of government guarantees and Republicans who argue for an updating of the ways we ensure personal and financial security.	The gender gap is no longer part of political tensions.	contradictory
If they come, they will be cut to pieces," said Oden.	"We will destroy them, cut them to pieces if they approach us." said Oden.	entailment
This sweeping vista of Jerusalem has changed greatly over the centuries, but has never failed to dazzle millions of pilgrims who have made the long journey to the Holy Land.	The Holy Land of Jerusalem has attracted millions of people over the centuries.	entailment
whether the identification of these factors was based	The factors were left without being identified.	contradictory
If the seduction works, and it usually does, you'll want to come back time and again.	If you get seduced, then you'll never want to come back again and ruin the experience you had.	contradictory
The Legal Services Corporation is a private, non-profit corporation established in the District of Columbia by the Legal Services Corporation Act of 1974, as amended (the LSC Act), 3 to provide financial support for legal assistance in civil proceedings to persons unable to afford legal services.	The Legal Services Corporation was created to help indigent death row inmates.	contradictory
uh that's a good question i the Rangers have a have a pitching problem and whether or not they can fix that or not is going to be an interesting question they're doing the right thing though uh they are going with their farm system they're letting their farm system uh build up and stuff like that and	The Rangers have a perfect pitching strategy, no doubt.	contradictory
it sounds like a it sounds like a John Lennon uh type	He's nothing like Lennon, what are you talking about.	contradictory
The Liberties area, once a slum, is rapidly gentrifying, with new housing and restoration of the original small red-brick houses.	The Liberties area is still a slum.	contradictory
Oh, golly, if they find out, will we be in trouble!"  	No one will care if they find out.	contradictory
This claim may turn out to be wrong, but, contrary to Gould's basic indictment of evolutionary psychology, it is neither obvious nor, if true, useless.	The claim may be wrong but it is not obvious.	entailment
uh no i started in nineteen fifty nine i	1959 is the year I started.	entailment
i understand what you're saying but i'm saying	I don't understand you.	contradictory
I should dream of Mr. Brown all night!"	Mr Brown is dreamy	entailment
Miraculously the cathedral escaped unharmed from the heavy air raids of World War II.	The cathedral was damaged from the air assaults in World War II.	contradictory
well you know what i was hoping i was hoping Iran was going to take a very um dramatic stand and invade you know and and like Iran's the big bad guy you know but really if if they were going to save people's lives	They weren't going to save lives.	contradictory
It includes developing the overall strategy for managing the acquisition.	It does not involve strategy development for acquisition management.	contradictory
yeah for a pair of tennis shoes	For a pair of tennis shoes.	entailment
oh you're i'm in Dallas  not very long distance	Im in Mexico right now so pretty far away.	contradictory
the more disciplined kids you know they're not dealing with the whole gamut of personalities here they're they're private schools do not put up with a child that is uh that much of a problem like most schools have to	Private schools don't put up with problem children as well as other schools do. 	entailment
The leopard-cat is not a lot bigger than a domestic cat and may nip in and out of villages.	The domestic cat is roughtly the size of the leopard-cat.	entailment
Neatly arranged, there is nothing to offend the eye."	There are many offensive sights in the haphazard arrangement.	contradictory
It might also lift the pay caps on management salaries.	It is possible that the pay caps on management salaries can be removed.	entailment
yeah hey that's a hey that's a hard job to get really	That is a difficult job to obtain.	entailment
Corporations have responded by funneling millions into ANC campaign coffers.	The response of the corporations was to withdraw millions from the coffers of the ANC campaign.	contradictory
when they're drive and that's why why i guess the car insurance has no nonsmoker rates or whatever as well	Car insurance companies don't have non smoker rates.	contradictory
because i was watching CNN and they would they would switch back to one of their Israel bureaus and the people would be standing there in gas masks and you'd be hearing the sirens and it was just i was amazed	I was stunned seeing the news and watching the Israel bureaus and the chaos going on there.	entailment
Although Stanley Tucci turns in a good performance as the godfather of gossip, Walter Winchell, critics pan everything else in the made-for-TV film.	Stanley Tuccy has made a good performance in the film, and this has been highly appreciated by critics.	contradictory
Inside, the monastery surrounds a sunken courtyard with an exquisite golden shrine in the center, backed by a pagoda temple decorated with episodes from the life of Buddha.	There is a courtyard containing a golden shrine just outside the monastery.	contradictory
Get as many into the caves as will go.	Take everyone out of the caves.	contradictory
He is unpopular in the Senate.	The Senate loves him.	contradictory
Special emphasis was placed on cultural programs, with generous subsidies for theater, cinema, museums, and libraries, and also for scientific research.	Schools were the most important target for these reforms.	contradictory
Of prime importance is the saint's tomb to the left of the altar.	The tomb of the saint is to the right of the altar.	contradictory
Produced by NYD2, a communications firm based in Somerset, the documentary features case histories of clients whose needs ranged from housing to fighting off deportation.	The documentary covered clients and their various needs.	entailment
yeah yeah i think so too but you know it's one of those things	I see where you are coming from.	entailment
However, the relative roles of PM exposure duration and PM exposure level in inducing premature mortality remain unknown at this time.	A high duration of exposure to PM relative to a relatively low level of exposure is known to induce premature mortality, and this has been explained in numerous studies.	contradictory
, that I was up to .67 Keillor Units, but that was just bravado and doesn't include royalties, speaking fees, catalog sales, ancillary rights, etc.	Royalties and speaking fees are not included in the figure.	entailment
Mechanisms to facilitate the training of good researchers, particularly ones from emergency medicine, are needed and should be encouraged.	New ways to upgrade researcher skills are to be explored.	entailment
and that that doesn't i'm i like more of a variety than that in fact one day they they had they had three kinds of potatoes	They had three kinds of potatoes once and I like the variety.	entailment
On a quiet day you'll feel as if you have the world to yourself.	On a loud day you'll feel as if you're alone in the world.	contradictory
uh-huh did did we tend to um change their attitudes attitudes like some times when Americans go into foreign countries they tend to flaunt American things Americanism um consumer products TV the whole works	We have a tendency to change mindsets, when Americans go to other countries they display American things prominently. 	entailment
Should the allowances be auctioned off or be handed out for free?	Allowances should not be handed out for free.	contradictory
and then her little brother's only two years behind and he says well i don't know i think that i probably want to be a veterinarian and i said that's great let me explain to you how you get scholarships to do that	I didn't help him with anything, because I just don't know myself.	contradictory
13 Some federal agencies, such as the Social Security Administration (SSA), are exploring new ways to involve employees by devolving decisionmaking authority.	No federal agencies are exploring new ways to involve employees 	contradictory
HOMELAND SECURITY	No security.	contradictory
in fact yeah uh we i can understand that predicament um they they've um you know they've they've made them too easy and too accessible at everything to to buy	We do not understand their predicament and have no sympathy. 	contradictory
Today it has approximately 4,600 employees, a $590 million budget, and field offices around the world.	The company operates globally and has over 2,000 employees. 	entailment
Who calls? he asked in an uninflected, hollow voice.	He called out excitedly to see who was there.	contradictory
Effective systems are not merely once-or twice-yearly expectation setting and appraisal tools, but can help the organization manage on a day-to-day basis.	The best system is one that does not help manage the organization.	contradictory
Martin Needleman, the executive director of Brooklyn Legal Services Corp.	Needleman was the executive director.	entailment
Walk around the chestnut and lime trees, and admire Aristide Maillol's 18 sensual statues of nymphs and languorous maidens, a few of which are coquettishly half concealed behind a miniature maze.	Limes (the citrus fruit) and chestnuts grow on trees.	entailment
I carried the magazine carelessly stuffed into the pocket of my ulster.	I cautiously carried the magazine in my briefcase.	contradictory
Only a scratch. The girl sprang to her feet.	Badly hurt. The girl lay on the floor.	contradictory
He did not notice that Stein was eyeing him with new appraisal.	Stein was looking at him with a new appraisal, but he didn't notice.	entailment
The Commission solicited written comments from the public and held two public hearings duly noticed in the Federal Register.	The public was never consulted.	contradictory
it's a brand new one it's a Catholic uh retirement home for nuns it's at uh Trinity no let me see Trinity i keep calling it Trinity it's not Trinity i'll think of	It's an old retirement home for priests without leashes.	contradictory
You will also find here the start of the Via Dolorose where the Stations of the Crosehold a fascination for visitors no matter what their backgrounds or beliefs.	The visitors are all fascinated by the place.	entailment
But if you do, may you be blessed with the wiliness of a fox, the agility of a cat, and the creepy ingenuity of a defense secretary in concocting a dazzling non- It was nobody's fault.	May you not be blessed.	contradictory
and then the check bounces--did I mention that the dog was married, and yet he betrayed his vows?	The check bounced.	entailment
Such legislation would be necessary to repeal the current requirement that such benefits be used only for official travel9 and to affirmatively authorize employees and members to retain for personal use these benefits that are now considered the property of the government.	There's a current requirement that the benefits are used exclusively for official travel.	entailment
Across the main square, the town hall, in spite of having been modernized, retains a pair of splendid 15th- to 16th-century Manueline windows.	The town hall lost its 15th to 16th century Manueline windows first.	contradictory
In the narrow streets lined with merchants' and tailors' shops, the Star of David, menorahs, and Jewish names are actually more plentiful than Jewish people themselves.	The merchants here are Jewish. 	contradictory
it must be either uh A  and E or um uh Discovery Discovery	It's definitely on channel 2 which is Fox Sports Network. 	contradictory
well they weren't negating	Well, they were not contradicting.	entailment
On February 27, 1997, the FDA published a Notice of Proposed Rulemaking in the Federal Register.	The FDA proposed nothing in February 1997.	contradictory
Recent data have shown that not to be true.	It isn't true, according to the latest data. 	entailment
The Balearics are a sailing paradise, with safe harbors and marinas a short cruise from quiet coves.	The Balearics are land-locked.	contradictory
but i had decided long before i was even married that i wanted to if possible teach my kids at home and not put them in the public schools	After I got married and had kids I decided that I would send them to public school. 	contradictory
Congress may want to consider not expressly providing certain flexibilities in the initial legislation, but rather providing a mechanism for expedited consideration of flexibilities should the new department request them in the future.	Providing certain flexibilities in the initial legislation should be considered by Congress.	entailment
True or not, there is little debate that most low-income clients, and many in the middle class, find lawyers well outside their financial reach.	Whether it was fact or fiction it was noted that they could not afford the legal services.	entailment
The Malay martial art Silat came from Sumatra some 400 years ago.	Silat is about 100 years old.	contradictory
Under an interpretation that the alien must be physically present when the representation commenced, an alien who was temporarily outside the United States would be barred from obtaining legal services representation on	Under this interpretation an alien must remain in the United States at all times to obtain legal services.	entailment
um-hum of course i mean it's got its bad side so it's limited by the format and obviously you don't get into court as quickly as they seem to make it out that you do	There are no down sides to doing this.	contradictory
It offers different views of town and countryside with the changing light of day.	The time of day affects the view of the town and countryside.	entailment
In a low-rise building near the cave entrance is a small ethnographic museum, a place to see displays of local island customs and costumes as you wait a couple of minutes for the guided cave tour to begin.	There are no buildings anywhere near the caves.	contradictory
( This may not work with your e-mail system.)	This could be not compatible with your email system.	entailment
The Tourist Bureau (4 la Canebiyre) has laid out a two-hour fil d'histoire that allows you to explore the old city on foot; there is also an innovative choice of tours conducted in air-conditioned taxis equipped with recorded cassettes (Taxi-Tourisme).	The Tourist Bureau has designed different ways for tourists to explore the city.	entailment
yeah at least its something that you enjoy and i know a lot of people that talk about exercise and say well i don't want to exercise it's too much work but there a lot of different things you can do that that are enjoyable that you don't have to you kn ow strain yourself or sweat	Exercising is a waste of time for everyone 	contradictory
Adults and children alike will appreciate the hanging cliffs and pleasant countryside of meadows, vineyards, and orchards, with graceful willows and poplars at the water's edge.	Both children and adults will like the beautiful natural features.	entailment
i think on the local elections it's actually um i think um i think people vote in the larger elections because they feel like well you know the country's real important and you know if i elect if we help elect a president who's going to save us then the then the whole country will be saved but they figure local elections don't mean that much i suspect so people don't really worry about their local mayor or something figuring that you know um and i think wrongly figuring that that well what good is another mayor going to do anyway because our federal taxes are more important right now and you know and stuff like that so people think that that that they don't have um that that it doesn't doesn't matter as much whereas i think it's probably just the opposite is true i think it's probably the case that people could have more effect on a local level	I think more people vote during the presidential elections than local elections.	entailment
He had used his disarmed hand to draw the pistol as Adrin had assumed the disarm had succeeded.	He drew the weapon to the surprise of the other man.	entailment
and uh they're coming up really pretty you just need a just need a good rain	They're going well, they just need some rain. 	entailment
each using the appropriate techniques, in order to produce capping reports or similar products.	Each wants to produce capping reports.	entailment
yeah yeah yeah i was uh i told my dad you know it was like listen dad you know that i sleep a lot of hours right	Dad is well aware of my sleeping habits.	contradictory
it it it's i'm glad i don't live in a big city	I have no desire to live in a big city.	entailment
Accounting for Property, Plant and Equipment, paragraphs 75 and 76.	There is accounting for property, the plant, and equipment.	entailment
even better than Roger Rabbit insofar as animation	Animation and Roger Rabbit have nothing in common.	contradictory
Two Kirbys riding for the same spread is going to be rather confusing.	There was only one Kirby riding for the spread.	contradictory
that's a lot lot there will be times when we'll turn that on instead of instead of watching something on TV	We only just watch TV.	contradictory
Julius turned to the lawyer.	Julius didn't move and never saw the lawyer. 	contradictory
That's not your demographic profile on the Net, observes consultant Rob Arena, of Presage Internet Consulting, who coordinated Bob Dole's Internet campaign in 1996.	To Rob Arena, that's your demographic profile on the Net.	contradictory
Being Berlitz, we'll try to help you with some of the simplest phrases (at the front of the book).	It is important to do the entire book independently,	contradictory
um yes i did i only lived in Texas in eighty seven and um eighty eight and uh part of eighty nine	I have lived in Texas for only a month.	contradictory
The EOIR states that the provisions of the interim rule will require additional immigration judges, Immigration Court presence at existing INS detention centers, and construction of new Immigration Courts at new detention facilities.	No more immigration judges will be needed according to the EOIR.	contradictory
She unhooked it with a steady hand.	She unhooked it shakily.	contradictory
I have heard of Kentucky horses. 	Kentucky horses are something I've heard about in the past.	entailment
But their faces were sobering by the time he reached the doorway and looked back.	He looked back to see their sobering faces.	entailment
The old western was almost always a tale of a courageous loner imposing order on lawlessness, as in the Wayne films and Shane (1953).	Wayne films and Shane are good examples of old westerns.	entailment
In the end, Mayakovsky is stuck in a kind of zoo, where curious people come to watch him do unhealthy things.	No one want to see the things Mayakovsky does to himself.	contradictory
That would, in effect, penalize companies for efficiency and productivity.	That would penalize companies for being efficient.	entailment
An interpretation is a document of narrow scope that provides clarifications of original meaning, additional definitions, or other guidance pertaining to an existing SFFAS.	An interpretation focuses solely on providing additional definitions.	contradictory
On May 24, 2000, FFC sponsored a government/industry forum on best practices for reviewing facility designs.	Facility designs can be reviewed using best practices.	entailment
He is the Mr. Magoo of scientific theory, genially oblivious to everything he can't or won't see (Daniel Mendelsohn, the New York Observer ). (In Slate , Steven Pinker praises the book.	He is oblivious to things he can't see.	entailment
when my husband was in business he had one customer who said that he had to use credit cards because he spent more than he made every month and he was perfectly serious about it	One of my husband's customers said that he spent more than he made.  	entailment
so here lately with all the Middle Eastern news we've had some very interesting conversations over lunch	Here recently with all the news from the Middle East, we had some intriguing talks over lunch.	entailment
the ability of people to access you know your financial records or for example your credit rating uh rating	Some people have access to your information, such as financial records and credit rating. 	entailment
She reasoned that there were so many risk factors that should be addressed that some sort of bundling would be necessary.	Bundling might help reduce the severity of multiple risk factors.	entailment
Three years of her wisdom, justice, and generosity were all they could take before they murdered her.	Despite her many great qualities, they had her killed.	entailment
These questions are relevant for DHS and every other federal agency and activity.	These questions are have no relation to the DHS.	contradictory
Considering the Results of Previous Audits and Attestation Engagements	The results of previous audits were considered. 	entailment
The bouts commence in the morning, but the real crowds start arriving only in late afternoon.	The crowds come early and leave late in the afternoon.  	contradictory
The cool season is from October to March, the ideal time for seeing most of India ( except in the northern hills and mountains, where it's bitterly cold).	October would be a good time to visit India, unless you plan on going to the northern hills.	entailment
yeah that would not be fun	That would be so much fun.	contradictory
Legal Aid is a nonprofit national organization aimed at providing low-cost or free legal aid to those who need it.	They catered only to the wealthy.	contradictory
Such a limitation might not exist in the private sector, where the categories of customers to be served can be prescribed and contract rates can be tailored to specific customers or situations, but it is taken as a constraint on broad-based government organizations.	Government organizations have to deal with a broad base of customers.	entailment
A writer recounts his experience as a phone psychic.	An author retells his stories as a telephone psychic.	entailment
If one question answered yes yields a positive test score, asking that one first and stopping as soon as the score is positive would be the most efficient approach.	Stopping after a question is answered no results in the most efficient approach.	contradictory
The 29th. The Russian seemed to consider: "That is rather soon."	When told the 29th, the Russian gave it no thought.	contradictory
um-hum well that's good well it's been enjoyable speaking with you	I wish I hadn't talked to you at all.	contradictory
We often use multiple methods, and the audit trail technique now recommended for case study use was itself adopted from such auditing procedures as workpapers and referencing, which are standard practice with GAO.	We use multiple methods and follow GAO standard practices.	entailment
so when i went to my first year of tech school uh i had a very easy time because our high school had a a good program	I had a hard time in my first year of tech school.	contradictory
That's Bradley's real casting couch.	That is not Bradley's real casting couch.	contradictory
In 1993, a National Research Council study found that more than 10 percent of all federal financial aid was awarded in error.	No federal financial aid is awarded in error.	contradictory
yeah smaller we were up in Pittsburgh Pennsylvania	We were up in Detroit and it was huge. 	contradictory
An undignified place to be.	It was a very dignified place to be.	contradictory
There may be people who do not look upon it as horrible.	Everyone, without exception, looks upon it as horrible.	contradictory
oh yeah well that that was fun	No, that was boring.	contradictory
I'll be back in half an hour." Thirty-five minutes had elapsed when Julius returned.	Julius was back after thirty-five minutes had elapsed. 	entailment
This would be great for the country but tough on News Quiz, already perilously low on favorite targets.	News Quiz would struggle with this but the country would benefit.	entailment
college or well we got we got two teams of the ACC going there	As far as i know I think we got six teams there.	contradictory
Take the m??tro to Rambuteau and start at the corner of the Rue des Archives and Rue des Francs-Bourgeois, named after the poor people who were al?­lowed to live here tax-free during the 14th century.	Take the metro to Rambuteau and start at the corner of the Rue des Archives.	entailment
The little bird is what told housewares manufacturers that teakettles could be a hot commercial item and led to the current proliferation.	Tea kettles are very unpopular now.	contradictory
After lunch, Lawrence drew me aside, and asked if I was going down to see him. 	After the midday meal, Lawrence took me aside and inquired if I planned on going down to see him.	entailment
The Effects on Pupils of the Experimental	No pupil effects on experiment	contradictory
The worst part about the sea, as Ramanathan and the Scripps Institution of Oceanography must both lament when it comes time for their annual talent show, is that nothing amusing ever takes place beneath it.	Ramanathan and the Scripps Institution of Oceanography claim that nothing happens beneath the sea.	entailment
Behind the bank in Foster Place is the intimate Bank of Ireland Arts Centre, which hosts a variety of exhibitions, plays, and concerts.	The Bank of Ireland Arts Centre hosts plays, exhibitions and concerts.	entailment
The ancient library of Alexandria founded by Ptolemy I was said to be the greatest collection of manuscripts in the ancient world comprising some 70,000 items.	There were around 70,000 items in the ancient library of Alexandria.	entailment
Supporting Oversight of the Internal Revenue Service (IRS): GAO continued to support	GAO continue to support the oversight of the IRS.	entailment
i know and he pulled that out that is so funny i heard it on the radio i heard the audio portion on the radio in the car but i didn't see it but	I don't know, what did he do?	contradictory
This is just reality.	This is reality.	entailment
These initiatives include working with providers to ensure that medical records support billed services.	The initiatives do not work with medical records at all. 	contradictory
good well as a matter of fact i'm before we started this conversation i was working on my PC at home	I do not have a PC in my home.	contradictory
Using the air quality modeling results, the change in pollutant concentration based on modeling for each CAPMS grid cell is determined.	Pollutant concentrations are shown in air quality modeling results.	entailment
Apparently the news hasn't reached quiz participants that America has shaken of the malaise of the Vietnam War and the clunky gas-guzzler by invading several small nations and imitating the design and manufacturing methods of Toyota.	Those who took the quiz must not have received the news.	entailment
According to the SEC, the amendments and disclosure items were submitted for review to the Office of Management and Budget in accordance with the Paperwork Reduction Act and were approved by OMB in accordance with the clearance procedures of that act (44 U.S.C.	The SEC said that the OMB approved the amendments and disclosure after submission.	entailment
And some of the GOP's increasing anti-interventionism can be ascribed to hysterical dislike of President Clinton, rather than to principled belief, and is likely to wane when he is gone.	Their principled belief has fueled the GOP's increase in anti-interventionism.	contradictory
Hillary Clinton messed with health insurance and went down in flames.	Clinton messed with health insurance.	entailment
The beast's shadow overtook Adrin and he whispered a prayer Gauve's wife, Celeste, had taught him.	Celeste taught Adrin a prayer.	entailment
It's nature's sleeping pill.	Many people find natural surroundings to be calming and relaxing.	entailment
The MacDonalds of the world won't go away just because you think they're not worth responding to.	Believing a major corporation below responding too will not make them disappear	entailment
He was dead before he fell to the ground.	He died and fell on the ground.	entailment
Parts of the Croseand the nails with which Christ was crucified are reputed to be sealed in the column's base.	It's an established fact that the column's base is solid stone with nothing inside.	contradictory
A 10-minute walk up the wooded hill to the castle tower gives a delightful view of the town and the surrounding valley of the Weiss river.	The views of the Weiss River valley and the town from the Castle tower are terrible. 	contradictory
Shenzhen was China's first Special Economic Zone.	Shenzhen, located in China, was the first Special Economic Zone.	entailment
A generation ago, Abbott's book was hailed as a landmark, a visionary expose.	A generation ago, nobody wrote books.	contradictory
two percent two percent is a good choice but to as far as to increase tax revenues coming in you need to a redesigning of the entire tax structure itself corporate America is getting away with bloody murder where as the people out here are having to pay such a high amount of their actual bring home salaries into taxes the corporations are getting off easy because they're actually paying in less than five percent of their gross national product or their or their	Corporate America is doing things that are very immoral.	entailment
Many of those exploited in the workplace are undocumented residents who believe they have no rights, while others are threatened with termination if they complain, she said.	All undocumented residents are aware that they have rights.	contradictory
But he was not going to keep on protesting about the right or wrong of what happened back in town.	He stopped debating about what had happened in town.	entailment
Scarcely a sentence passed his lips without a mention of toughness.	He tried to avoid talking about toughness.	contradictory
no it uh it started leaking through the you know out through the pan and out onto the floor and it's soaking up in the Sheetrock or in things right	It leaked onto the floor and into the sheetrock.	entailment
Individuals with less severe alcohol problems may benefit from a brief intervention with little or no follow-up or referral.	People will smaller alcohol problems still need follow-up.	contradictory
we need to we need to probably try to get more one on one with the teachers and the and the students if we could	Teachers and students should have more one on one time.	entailment
